timestamp,actual_scaled,sarima_pso_tcn_scaled,sarima_ga_tcn_scaled,actual_kwh,sarima_pso_tcn_kwh,sarima_ga_tcn_kwh
10/1/2022 21:00,0.078358755,0.107683784,0.102741103,17.61791949,24.21126058,23.09996463
10/1/2022 22:00,0.028300497,0.009697375,0.00272694,6.362988813,2.18032525,0.613115956
10/1/2022 23:00,0.049870626,0.003627416,-0.005592887,11.21274418,0.815575925,-1.257485851
10/2/2022 0:00,0.049870626,0.02889347,0.02881957,11.21274418,6.496310902,6.479695374
10/2/2022 1:00,0.049870626,0.028844304,0.02116356,11.21274418,6.485256431,4.758343747
10/2/2022 2:00,0.049870626,0.037789935,0.031740635,11.21274418,8.496562063,7.136457738
10/2/2022 3:00,0.049870626,0.038723729,0.032475171,11.21274418,8.706513282,7.301608384
10/2/2022 4:00,0.049870626,0.030964014,0.019156857,11.21274418,6.961845036,4.307163445
10/2/2022 5:00,0.049870626,0.047531365,0.040631583,11.21274418,10.68679253,9.13546871
10/2/2022 6:00,0.049870626,0.064172995,0.055799204,11.21274418,14.42844081,12.54570567
10/2/2022 7:00,0.137072501,0.118850779,0.114555993,30.81892112,26.7220103,25.75638489
10/2/2022 8:00,0.254133975,0.183699232,0.18152345,57.13862997,41.30231864,40.81312314
10/2/2022 9:00,0.278040441,0.341756658,0.331627416,62.51367939,76.83941972,74.56199512
10/2/2022 10:00,0.260234577,0.295039654,0.291594506,58.51026878,66.3357255,65.56112988
10/2/2022 11:00,0.252490653,0.266713334,0.266682698,56.76915079,59.96693085,59.96004258
10/2/2022 12:00,0.342175487,0.252707941,0.254718018,76.93358792,56.81800526,57.26994428
10/2/2022 13:00,0.475505994,0.328734217,0.317237681,106.9111715,73.91149797,71.32665531
10/2/2022 14:00,0.421538856,0.413016393,0.421170398,94.7773815,92.86121951,94.69453858
10/2/2022 15:00,0.290901312,0.333015363,0.339463384,65.40527448,74.87405641,76.32380784
10/2/2022 16:00,0.349374517,0.228724231,0.228838545,78.55219367,51.42558825,51.45129028
10/2/2022 17:00,0.207891763,0.347765024,0.334009377,46.74168612,78.19032078,75.09754717
10/2/2022 18:00,0.307587865,0.199337958,0.186964764,69.15702315,44.81847739,42.03652996
10/2/2022 19:00,0.250332185,0.271768257,0.258220097,56.28384812,61.10346276,58.05733995
10/2/2022 20:00,0.258337656,0.123536721,0.131067016,58.08377144,27.77558172,29.46866782
10/2/2022 21:00,0.196669967,0.181351433,0.187094423,44.21861531,40.77444754,42.06568202
10/2/2022 22:00,0.073143049,0.100884971,0.105419733,16.44523769,22.68263818,23.70221892
10/2/2022 23:00,0.029567125,0.021642734,0.012065877,6.647773183,4.866079745,2.712851343
10/3/2022 0:00,0.029567125,0.0021415,-0.004391757,6.647773183,0.481487765,-0.987427958
10/3/2022 1:00,0.029567125,0.011741712,0.001883187,6.647773183,2.639967034,0.423409493
10/3/2022 2:00,0.029567125,0.00383963,-0.005438295,6.647773183,0.863289603,-1.222727888
10/3/2022 3:00,0.029567125,0.002140551,-0.00383965,6.647773183,0.481274394,-0.86329394
10/3/2022 4:00,0.029567125,0.010923308,0.008187044,6.647773183,2.455960013,1.840747411
10/3/2022 5:00,0.03166588,0.021012958,0.009291129,7.119650106,4.724483002,2.088986327
10/3/2022 6:00,0.089957513,0.067823028,0.056717052,20.22574538,15.24910192,12.75207154
10/3/2022 7:00,0.22198398,0.150096217,0.131775545,49.91013297,33.74712972,29.62797128
10/3/2022 8:00,0.398010205,0.262162343,0.256079734,89.48727859,58.94370124,57.57610778
10/3/2022 9:00,0.483256393,0.449948986,0.457068977,108.6537454,101.1650197,102.7658545
10/3/2022 10:00,0.458448808,0.460698255,0.444917396,103.0760911,103.5818492,100.0337339
10/3/2022 11:00,0.431640389,0.426823826,0.403558282,97.04857614,95.96563642,90.73468953
10/3/2022 12:00,0.259845065,0.384138226,0.353522254,58.42269227,86.36834937,79.48475691
10/3/2022 13:00,0.336371212,0.231740816,0.228942334,75.62857433,52.10382728,51.47462581
10/3/2022 14:00,0.356166389,0.305485211,0.292887874,80.07925539,68.68426945,65.8519264
10/3/2022 15:00,0.263203183,0.299670591,0.285161125,59.17772026,67.37692971,64.11467018
10/3/2022 16:00,0.290057358,0.212748024,0.212961684,65.21552284,47.83355152,47.88159019
10/3/2022 17:00,0.392497037,0.281649206,0.283668902,88.24771642,63.32506219,63.77916384
10/3/2022 18:00,0.328360388,0.375573258,0.375384526,73.82744755,84.44263074,84.40019675
10/3/2022 19:00,0.283625721,0.244775706,0.241563959,63.76945511,55.0345482,54.31242959
10/3/2022 20:00,0.169038813,0.179467843,0.185679675,38.00611935,40.35094745,41.74759494
10/3/2022 21:00,0.148694255,0.059375355,0.059581967,33.43191724,13.34975543,13.39620938
10/3/2022 22:00,0.11088903,0.069272195,0.064760786,24.93191724,15.57492783,14.56059778
10/3/2022 23:00,0.049649679,0.061708606,0.054991122,11.16306724,13.87435585,12.3640192
10/4/2022 0:00,0.044945597,0.022292674,0.00716287,10.10541724,5.012210041,1.610475558
10/4/2022 1:00,0.044945597,0.024994666,0.023892061,10.10541724,5.619716751,5.371810765
10/4/2022 2:00,0.044945597,0.02221212,0.006215416,10.10541724,4.994098441,1.397453236
10/4/2022 3:00,0.044945597,0.032649377,0.019397821,10.10541724,7.340776243,4.361340984
10/4/2022 4:00,0.044945597,0.006324589,0.000216748,10.10541724,1.421999292,0.048732894
10/4/2022 5:00,0.044945597,0.032269365,0.016255441,10.10541724,7.255335619,3.654818692
10/4/2022 6:00,0.054998426,0.070998916,0.058800698,12.36566148,15.96315796,13.22055164
10/4/2022 7:00,0.168636465,0.136225528,0.122195973,37.91565685,30.62849048,27.47413242
10/4/2022 8:00,0.196836628,0.228619581,0.213279935,44.25608681,51.40205921,47.95314479
10/4/2022 9:00,0.41285363,0.294984221,0.292135071,92.82462432,66.3232621,65.68266867
10/4/2022 10:00,0.46968416,0.450470052,0.43728125,105.60221,101.2821743,98.31684843
10/4/2022 11:00,0.485169163,0.437157095,0.432467997,109.083806,98.28893379,97.23465287
10/4/2022 12:00,0.532761129,0.443836903,0.431311173,119.784224,99.79079952,96.97455647
10/4/2022 13:00,0.27386614,0.471617025,0.466467527,61.57514362,106.036789,104.878993
10/4/2022 14:00,0.216203571,0.213742336,0.212265713,48.61048523,48.05710944,47.72511045
10/4/2022 15:00,0.241463116,0.188890791,0.194911069,54.28975654,42.4695715,43.82315054
10/4/2022 16:00,0.366780583,0.218728894,0.222760224,82.46571515,49.17827026,50.08466104
10/4/2022 17:00,0.391442496,0.381963829,0.387963938,88.01061687,85.87946531,87.22850968
10/4/2022 18:00,0.376221797,0.353859186,0.359607789,84.58844599,79.56051169,80.85300829
10/4/2022 19:00,0.263758159,0.291241173,0.283953277,59.30249916,65.48168772,63.8431017
10/4/2022 20:00,0.205164977,0.129184885,0.123171685,46.12860467,29.04549581,27.69350818
10/4/2022 21:00,0.168820311,0.110840665,0.099001618,37.95699203,24.92104307,22.25919146
10/4/2022 22:00,0.141213772,0.079321509,0.069136511,31.75003047,17.83438176,15.54442096
10/4/2022 23:00,0.090589029,0.095497706,0.089176921,20.36773321,21.47138376,20.05023952
10/5/2022 0:00,0.090589029,0.055793746,0.038359621,20.36773321,12.54447864,8.624648325
10/5/2022 1:00,0.077142355,0.057221056,0.035553484,17.34442824,12.86539021,7.993726108
10/5/2022 2:00,0.032960428,0.045513009,0.020415688,7.410711931,10.23299216,4.590194792
10/5/2022 3:00,0.032960428,0.003791139,-0.004869591,7.410711931,0.852386878,-1.094862579
10/5/2022 4:00,0.032960428,0.026529921,0.015382606,7.410711931,5.964898366,3.45857355
10/5/2022 5:00,0.032960428,0.002668335,-0.003539482,7.410711931,0.599939438,-0.795805142
10/5/2022 6:00,0.06844028,0.046534104,0.0359982,15.38788291,10.46257168,8.093714549
10/5/2022 7:00,0.2917902,0.123231476,0.117636022,65.60512919,27.70695131,26.44888842
10/5/2022 8:00,0.288437675,0.331789416,0.338838366,64.85135861,74.59841871,76.18328087
10/5/2022 9:00,0.480046731,0.389650428,0.368308799,107.9320956,87.60769443,82.80931412
10/5/2022 10:00,0.557494864,0.515343038,0.496879471,125.3452739,115.8679987,111.7167123
10/5/2022 11:00,0.354415051,0.514767042,0.504187843,79.68549047,115.7384938,113.3599023
10/5/2022 12:00,0.336492471,0.285236758,0.280347463,75.65583771,64.13167513,63.03238256
10/5/2022 13:00,0.522826219,0.274584356,0.27387588,117.5504922,61.73662496,61.57733366
10/5/2022 14:00,0.434999636,0.46706434,0.476996515,97.803858,105.0131784,107.2462954
10/5/2022 15:00,0.371677271,0.353997135,0.338858898,83.56666994,79.59152754,76.18789719
10/5/2022 16:00,0.433779728,0.309004785,0.296440346,97.52957799,69.47559873,66.65065229
10/5/2022 17:00,0.470161739,0.400953592,0.396750496,105.7095872,90.14905978,89.20404977
10/5/2022 18:00,0.39635658,0.402737668,0.396561844,89.11548297,90.55018538,89.16163395
10/5/2022 19:00,0.259553621,0.285963014,0.258675517,58.35716486,64.29496414,58.15973507
10/5/2022 20:00,0.124130456,0.111250628,0.100597534,27.90907513,25.01321769,22.61801191
10/5/2022 21:00,0.087445837,0.021551957,0.018741516,19.66102841,4.845669768,4.213779657
10/5/2022 22:00,0.053044065,0.010452087,0.011040944,11.92624961,2.350012204,2.482408754
10/5/2022 23:00,0.043663457,0.00216804,-0.012793511,9.817145132,0.487454948,-2.876450155
10/6/2022 0:00,0.015521632,-0.010732597,-0.004582877,3.489831699,-2.413081192,-1.0303987
10/6/2022 1:00,0.015521632,-0.011224959,-0.014579643,3.489831699,-2.523782211,-3.278037993
10/6/2022 2:00,0.015521632,-0.012332828,-0.019239576,3.489831699,-2.77287171,-4.325761706
10/6/2022 3:00,0.015521632,-0.024420796,-0.038587039,3.489831699,-5.49068972,-8.675780329
10/6/2022 4:00,0.015521632,-0.004673421,-0.01862558,3.489831699,-1.05075639,-4.18771285
10/6/2022 5:00,0.015521632,0.001462192,-0.015326108,3.489831699,0.32875439,-3.445870658
10/6/2022 6:00,0.033049433,0.035156406,0.030183989,7.430723649,7.904448348,6.786466821
10/6/2022 7:00,0.131711184,0.124057427,0.111441258,29.61350047,27.89265539,25.05607837
10/6/2022 8:00,0.239649126,0.195782301,0.18336429,53.88190516,44.0190355,41.22701154
10/6/2022 9:00,0.325079053,0.33143821,0.321333405,73.08968304,74.51945471,72.24752411
10/6/2022 10:00,0.41001486,0.351567653,0.339220194,92.1863648,79.0452911,76.26912968
10/6/2022 11:00,0.461907204,0.416917589,0.407028642,103.8536654,93.73835133,91.51495368
10/6/2022 12:00,0.39309437,0.431690256,0.418456274,88.38201859,97.05978807,94.08430397
10/6/2022 13:00,0.323523171,0.365117504,0.342124078,72.73986379,82.09179414,76.92202935
10/6/2022 14:00,0.227488223,0.296040407,0.29021697,51.14768856,66.56073141,65.25140935
10/6/2022 15:00,0.246681363,0.211972814,0.21164694,55.46300956,47.65925587,47.58598757
10/6/2022 16:00,0.303197474,0.251687994,0.256904995,68.16990226,56.58868375,57.76165671
10/6/2022 17:00,0.287229692,0.315750218,0.315109835,64.57975984,70.99221926,70.8482377
10/6/2022 18:00,0.352276728,0.279561177,0.277222708,79.20471701,62.85559668,62.32982315
10/6/2022 19:00,0.378167387,0.283515118,0.279227475,85.02588593,63.74458754,62.7805682
10/6/2022 20:00,0.186252357,0.258075999,0.247024806,41.87635471,58.02494139,55.54022828
10/6/2022 21:00,0.124122425,0.085220784,0.073402744,27.90726933,19.16075508,16.5036266
10/6/2022 22:00,0.055585343,0.057458516,0.050058886,12.49762194,12.9187798,11.25507188
10/6/2022 23:00,0.056296744,0.00503706,-0.001194509,12.65757105,1.13251567,-0.268569331
10/7/2022 0:00,0.056296744,0.033690554,0.03134712,12.65757105,7.574870985,7.047981171
10/7/2022 1:00,0.056296744,0.023196054,0.019422363,12.65757105,5.21532302,4.366858973
10/7/2022 2:00,0.056296744,0.029297271,0.022086552,12.65757105,6.587100083,4.965866242
10/7/2022 3:00,0.056296744,0.02976907,0.024940381,12.65757105,6.69317769,5.607511639
10/7/2022 4:00,0.056296744,0.033673443,0.018892288,12.65757105,7.571023994,4.24767871
10/7/2022 5:00,0.056296744,0.046274923,0.030086273,12.65757105,10.40429825,6.764496541
10/7/2022 6:00,0.074957843,0.061758865,0.048027534,16.85326981,13.88565581,10.79834952
