Model,MAE,RMSE,SMAPE (%),R2
SARIMA-PSO-TCN,11.18615377409212,15.183671042780354,49.16516819001201,0.8307128322061779
SARIMA-GA-TCN,13.017430880158075,17.35212581859842,62.75215806418692,0.7789065670509147
