timestamp,demand_kWh
2018-01-01,13.008
2018-01-02,14.17494927536232
2018-01-03,43.33305072463767
2018-01-04,69.7079243342967
2018-01-05,30.413014677270063
2018-01-06,67.682523659306
2018-01-07,63.46652365930599
2018-01-08,46.51669141548598
2018-01-09,94.0025909255283
2018-01-10,94.06013400339836
2018-01-11,107.267191854284
2018-01-12,110.18565847890946
2018-01-13,61.096407643312105
2018-01-14,31.644407643312103
2018-01-15,12.246407643312104
2018-01-16,142.62852406227884
2018-01-17,82.71705279503104
2018-01-18,90.4785619549944
2018-01-19,82.17144626571164
2018-01-20,51.10739660451336
2018-01-21,56.06937196950413
2018-01-22,84.57161626536117
2018-01-23,171.86046507605835
2018-01-24,216.11368863959396
2018-01-25,136.5891529630621
2018-01-26,140.4631706013704
2018-01-27,92.60178553500423
2018-01-28,88.2197855350042
2018-01-29,92.09590806104075
2018-01-30,65.11433362489453
2018-01-31,90.04540231987508
2018-02-01,211.43700231987503
2018-02-02,247.29460737430057
2018-02-03,105.14632258824614
2018-02-04,64.29498504881396
2018-02-05,84.79408130025202
2018-02-06,115.31385691724316
2018-02-07,187.49336727921067
2018-02-08,218.47263640042888
2018-02-09,152.29788120251803
2018-02-10,71.52961506872418
2018-02-11,139.02961506872415
2018-02-12,228.24558095461828
2018-02-13,187.47059570334218
2018-02-14,99.69943614766758
2018-02-15,165.04430610047598
2018-02-16,202.15467359677157
2018-02-17,143.5219915146689
2018-02-18,199.88854700056004
2018-02-19,98.51668256947713
2018-02-20,190.28211716270124
2018-02-21,164.35467451577702
2018-02-22,254.0299423982512
2018-02-23,219.84518626174332
2018-02-24,204.2755460534009
2018-02-25,287.28469228012943
2018-02-26,147.69024990403477
2018-02-27,107.60690021755998
2018-02-28,193.2830783071429
2018-03-01,165.29670858248863
2018-03-02,117.5056116176151
2018-03-03,150.93127324805388
2018-03-04,218.309819721927
2018-03-05,153.70731492092182
2018-03-06,147.89782955475758
2018-03-07,176.06591583229346
2018-03-08,192.85112617357666
2018-03-09,123.05678104855262
2018-03-10,154.5044748201439
2018-03-11,96.13047482014389
2018-03-12,85.29172042239406
2018-03-13,169.66985759123466
2018-03-14,139.51455638808463
2018-03-15,234.4799272048763
2018-03-16,176.91856011640286
2018-03-17,149.21837375178322
2018-03-18,179.76379058956556
2018-03-19,208.4282081455171
2018-03-20,115.45124143504204
2018-03-21,187.63128012524703
2018-03-22,229.80330345253614
2018-03-23,301.4254473329968
2018-03-24,201.54310235463916
2018-03-25,234.75310235463917
2018-03-26,153.3370896311131
2018-03-27,66.10013302638698
2018-03-28,184.59966626938768
2018-03-29,93.07889854184873
2018-03-30,182.7337298397656
2018-03-31,166.77937161838562
2018-04-01,83.80000000000001
2018-04-02,69.00558490566038
2018-04-03,148.04537197534515
2018-04-04,229.7329509558081
2018-04-05,335.9506351675604
2018-04-06,318.4857241176823
2018-04-07,198.27389108512804
2018-04-08,211.42382381690325
2018-04-09,136.35632592271304
2018-04-10,298.98181050422437
2018-04-11,179.51694527832188
2018-04-12,291.28333207937186
2018-04-13,244.00001851353176
2018-04-14,401.56498266393965
2018-04-15,196.9078643797549
2018-04-16,197.1924424917367
2018-04-17,190.56122515431343
2018-04-18,232.44144417172515
2018-04-19,207.85594929689964
2018-04-20,240.9511897145017
2018-04-21,215.91341463414636
2018-04-22,151.06541463414632
2018-04-23,109.93609117004567
2018-04-24,176.155268665241
2018-04-25,161.3998094221689
2018-04-26,197.72032816729325
2018-04-27,404.2061093790258
2018-04-28,311.4804681634058
2018-04-29,183.23608498583567
2018-04-30,170.99828405847754
2018-05-01,258.5601359894724
2018-05-02,211.04456738327207
2018-05-03,236.73212503500855
2018-05-04,376.5118107848557
2018-05-05,226.8516797323658
2018-05-06,278.0870300508371
2018-05-07,289.9940533614681
2018-05-08,141.91627037596555
2018-05-09,206.15806113388055
2018-05-10,172.32990595135618
2018-05-11,335.7855747266099
2018-05-12,309.5820000000001
2018-05-13,313.66724120123945
2018-05-14,198.70471503508446
2018-05-15,248.25451825347196
2018-05-16,350.96355231087426
2018-05-17,316.18652807133793
2018-05-18,228.47933466287577
2018-05-19,285.0993953488373
2018-05-20,153.24139534883722
2018-05-21,272.6518861391233
2018-05-22,257.40134185616665
2018-05-23,271.10503441657124
2018-05-24,420.4905384202198
2018-05-25,327.1389177103151
2018-05-26,374.8983272343418
2018-05-27,312.82259672650304
2018-05-28,219.49229350566696
2018-05-29,261.35288199333496
2018-05-30,410.9470792299878
2018-05-31,179.37971874504234
2018-06-01,360.04961604610884
2018-06-02,270.6552257617529
2018-06-03,300.0896253321074
2018-06-04,212.98666576535476
2018-06-05,317.0393728208094
2018-06-06,255.03210747872876
2018-06-07,276.9459925117519
2018-06-08,358.3942482332994
2018-06-09,266.62347018765024
2018-06-10,188.1497111617208
2018-06-11,341.9813276245946
2018-06-12,221.62482600422334
2018-06-13,400.21385117491576
2018-06-14,251.52821177159183
2018-06-15,221.39885683560817
2018-06-16,238.56058302583028
2018-06-17,116.18258302583027
2018-06-18,181.93869580145318
2018-06-19,380.333733226837
2018-06-20,265.78800000000007
2018-06-21,198.36199999999997
2018-06-22,246.64799999999997
2018-06-23,302.838
2018-06-24,204.89203141361256
2018-06-25,322.2567483664189
2018-06-26,263.11477577552415
2018-06-27,255.84696897913147
2018-06-28,270.8556666909413
2018-06-29,279.7888865869472
2018-06-30,287.19230065044576
2018-07-01,227.8863006504457
2018-07-02,221.09219130906865
2018-07-03,83.43971255004776
2018-07-04,193.49354808802312
2018-07-05,165.15793376430275
2018-07-06,203.4698930435192
2018-07-07,172.71267959312257
2018-07-08,220.36123514867816
2018-07-09,191.71928703779133
2018-07-10,412.34734047932216
2018-07-11,275.9466618444888
2018-07-12,153.97438979153642
2018-07-13,150.35593856655294
2018-07-14,205.4559385665529
2018-07-15,193.8359385665529
2018-07-16,291.33412387080944
2018-07-17,256.1400696804274
2018-07-18,140.61906959110445
2018-07-19,352.1174931888447
2018-07-20,157.70287620578782
2018-07-21,365.17596947859266
2018-07-22,178.00512422158727
2018-07-23,291.0954735891835
2018-07-24,220.50480494779575
2018-07-25,335.2484546258044
2018-07-26,224.4747331370366
2018-07-27,300.64106341193633
2018-07-28,285.87049573699994
2018-07-29,219.40693617021267
2018-07-30,232.6398771121913
2018-07-31,317.77561968621023
2018-08-01,313.24401677133824
2018-08-02,229.61703127448772
2018-08-03,453.8831552229772
2018-08-04,198.50135235604105
2018-08-05,146.52473013381882
2018-08-06,186.36354413282174
2018-08-07,261.65085651232823
2018-08-08,333.3541725308696
2018-08-09,283.30483832844396
2018-08-10,296.6913505182874
2018-08-11,257.19195756504166
2018-08-12,318.37801716769076
2018-08-13,289.634544722436
2018-08-14,191.249303249171
2018-08-15,305.8596497022897
2018-08-16,352.1493432979996
2018-08-17,449.8553303818086
2018-08-18,192.88978102189782
2018-08-19,115.23378102189781
2018-08-20,265.9727549788886
2018-08-21,319.4112992886628
2018-08-22,523.1563938008125
2018-08-23,470.48865966103097
2018-08-24,423.07834828635197
2018-08-25,288.5617382806376
2018-08-26,178.0839027484144
2018-08-27,235.26014453037658
2018-08-28,304.90683880506765
2018-08-29,354.0838855919616
2018-08-30,208.20174187161427
2018-08-31,320.20071551331915
2018-09-01,143.90738020551652
2018-09-02,195.17538020551646
2018-09-03,245.0553802055165
2018-09-04,260.632232541677
2018-09-05,300.77066377043246
2018-09-06,221.51323168500608
2018-09-07,379.22433404177525
2018-09-08,272.627151074143
2018-09-09,255.75956626692187
2018-09-10,272.0429106258844
2018-09-11,348.9697139207441
2018-09-12,229.17968081495042
2018-09-13,345.1905944908075
2018-09-14,348.7423938383245
2018-09-15,238.71704855553813
2018-09-16,263.8121624795888
2018-09-17,156.64270363158192
2018-09-18,224.39366507177039
2018-09-19,212.64787689407
2018-09-20,298.87126989306245
2018-09-21,310.16905289714623
2018-09-22,194.2048603849006
2018-09-23,269.214920086393
2018-09-24,361.7085852092408
2018-09-25,289.8889921239758
2018-09-26,359.2926043801306
2018-09-27,412.8917589848692
2018-09-28,485.8228302255395
2018-09-29,264.09944193399866
2018-09-30,185.8790274140923
2018-10-01,314.01460420568236
2018-10-02,277.3294865019965
2018-10-03,382.9220858234768
2018-10-04,440.25884233317834
2018-10-05,338.6480921737209
2018-10-06,382.80464787490047
2018-10-07,295.97590713415985
2018-10-08,242.9162907808604
2018-10-09,362.96702762299606
2018-10-10,420.1004537516834
2018-10-11,547.9695919259465
2018-10-12,596.9775636440718
2018-10-13,333.5745544261696
2018-10-14,96.24431856187223
2018-10-15,378.54100688360484
2018-10-16,524.36605959794
2018-10-17,334.3556110566215
2018-10-18,381.3153944219041
2018-10-19,398.6720986347582
2018-10-20,281.7454713494836
2018-10-21,292.7939277253225
2018-10-22,274.77155763105816
2018-10-23,180.29696356101127
2018-10-24,459.00551385947904
2018-10-25,477.15568635453565
2018-10-26,388.1700969241171
2018-10-27,343.916
2018-10-28,201.459072392638
2018-10-29,307.53746127950325
2018-10-30,383.1370694204257
2018-10-31,691.1712639773062
2018-11-01,579.1691966183146
2018-11-02,433.37957985709215
2018-11-03,367.95240837268204
2018-11-04,227.18373620032997
2018-11-05,312.87366935971465
2018-11-06,399.5827196648513
2018-11-07,426.30646438775364
2018-11-08,467.1690645948547
2018-11-09,498.532881429438
2018-11-10,341.58678911789843
2018-11-11,336.78221768932696
2018-11-12,264.5473605464698
2018-11-13,440.3094424273798
2018-11-14,499.22866420565884
2018-11-15,503.8793767614016
2018-11-16,372.8471671535103
2018-11-17,275.96999422405815
2018-11-18,271.5649557705833
2018-11-19,522.9446589506306
2018-11-20,313.25242462289924
2018-11-21,279.66232159530426
2018-11-22,92.98266010269728
2018-11-23,227.28802276701362
2018-11-24,218.24004072056974
2018-11-25,126.13404072056976
2018-11-26,448.5457410597005
2018-11-27,334.76754341265695
2018-11-28,353.3820745372385
2018-11-29,384.3756816386283
2018-11-30,520.6730841811144
2018-12-01,372.5978319992384
2018-12-02,406.1059182510811
2018-12-03,537.852759482526
2018-12-04,418.88473901299
2018-12-05,427.5541515518216
2018-12-06,438.0825360027504
2018-12-07,605.1968596017514
2018-12-08,522.0347587750562
2018-12-09,597.3531627321586
2018-12-10,448.3610331343642
2018-12-11,576.2133316247357
2018-12-12,500.3833195639413
2018-12-13,617.6131017997475
2018-12-14,510.2227502946729
2018-12-15,302.04686805753244
2018-12-16,317.7771987063307
2018-12-17,487.4844264342673
2018-12-18,596.8996156563469
2018-12-19,981.2092071726216
2018-12-20,576.6531898007726
2018-12-21,773.269245484363
2018-12-22,258.2866698531923
2018-12-23,497.4418097316715
2018-12-24,311.5791500362223
2018-12-25,122.20742641813187
2018-12-26,249.65629322674323
2018-12-27,418.7853666578141
2018-12-28,406.31077262515214
2018-12-29,240.84250439624853
2018-12-30,216.06450439624837
2018-12-31,301.32050439624845
2019-01-01,189.45050439624845
2019-01-02,278.56749000628764
2019-01-03,440.39462485737414
2019-01-04,349.2467255227668
2019-01-05,276.64452078177976
2019-01-06,377.26118744844666
2019-01-07,505.6332049826426
2019-01-08,345.026080564644
2019-01-09,589.0259888436939
2019-01-10,531.3116346348808
2019-01-11,423.2200640372502
2019-01-12,277.93340057571186
2019-01-13,358.68940057571183
2019-01-14,517.0595366336456
2019-01-15,581.5090077584487
2019-01-16,575.696550658015
2019-01-17,480.49615916252026
2019-01-18,420.82491891485745
2019-01-19,396.2893811369956
2019-01-20,333.61823827985296
2019-01-21,249.4378097084244
2019-01-22,382.69168520101
2019-01-23,490.69724413033254
2019-01-24,504.23534959807773
2019-01-25,795.4303668512969
2019-01-26,533.5543596878936
2019-01-27,304.9570776366116
2019-01-28,526.4131062080403
2019-01-29,640.7540001233418
2019-01-30,724.2875103001172
2019-01-31,788.4358824067303
2019-02-01,644.7096187876333
2019-02-02,475.73430944118536
2019-02-03,266.5530624021772
2019-02-04,518.6954238236902
2019-02-05,518.283237024553
2019-02-06,330.053604346814
2019-02-07,658.4476687939192
2019-02-08,680.9756008325961
2019-02-09,454.44696787990415
2019-02-10,448.76132150967146
2019-02-11,556.7883603033032
2019-02-12,568.2754177980744
2019-02-13,535.0727357326975
2019-02-14,563.6089546617351
2019-02-15,821.9317160170323
2019-02-16,367.196616284161
2019-02-17,254.87261628416087
2019-02-18,329.83223210849815
2019-02-19,758.8158897927693
2019-02-20,587.2934875070832
2019-02-21,552.1776364133179
2019-02-22,415.1553141395087
2019-02-23,310.79330691051223
2019-02-24,343.548724454372
2019-02-25,425.28241318932476
2019-02-26,551.2234748724861
2019-02-27,480.42921297530575
2019-02-28,493.6440672331456
2019-03-01,522.1853656299185
2019-03-02,318.0732806006986
2019-03-03,300.82237442258497
2019-03-04,633.4891403049712
2019-03-05,581.2197256109484
2019-03-06,377.97240054277285
2019-03-07,442.33428445646973
2019-03-08,451.1877052391301
2019-03-09,401.6457052391298
2019-03-10,305.22234988906393
2019-03-11,347.24480701607
2019-03-12,285.56256138698325
2019-03-13,94.51359541737509
2019-03-14,253.32750696364616
2019-03-15,421.7699598393575
2019-03-16,512.4909043822433
2019-03-17,392.5182739120818
2019-03-18,612.4116053098802
2019-03-19,647.8463999270839
2019-03-20,786.7121941293533
2019-03-21,484.288356973788
2019-03-22,614.8661897108348
2019-03-23,231.83239100442376
2019-03-24,461.3287382209232
2019-03-25,502.3982878880944
2019-03-26,481.2295632415133
2019-03-27,311.2773265650921
2019-03-28,183.97125162741952
2019-03-29,322.29917947890465
2019-03-30,293.27707340807115
2019-03-31,211.45763919388466
2019-04-01,557.0054281266907
2019-04-02,554.1293808662662
2019-04-03,540.0133961907285
2019-04-04,405.74056794436547
2019-04-05,527.0558264582254
2019-04-06,330.55018604651167
2019-04-07,305.7938119457923
2019-04-08,544.7870458591415
2019-04-09,383.77169823311704
2019-04-10,278.8892468477359
2019-04-11,334.5297891904958
2019-04-12,487.7866669266754
2019-04-13,465.45183222895776
2019-04-14,624.2315595229508
2019-04-15,460.2345597359167
2019-04-16,454.43722505419026
2019-04-17,511.77367525591455
2019-04-18,539.8176760805168
2019-04-19,475.0162464131596
2019-04-20,404.14408943638284
2019-04-21,177.5062693542188
2019-04-22,319.3453667636729
2019-04-23,479.6632345488332
2019-04-24,343.95891293449114
2019-04-25,390.6813216294397
2019-04-26,552.7298815657791
2019-04-27,572.7870425177191
2019-04-28,319.48654105999344
2019-04-29,432.14152394916914
2019-04-30,438.10193530547815
2019-05-01,364.0782755704885
2019-05-02,435.40520641230546
2019-05-03,379.95642160199156
2019-05-04,500.15158697724394
2019-05-05,399.1176971608834
2019-05-06,502.57618093636665
2019-05-07,383.1091337941306
2019-05-08,532.6796141709015
2019-05-09,419.705088955135
2019-05-10,624.5851443275792
2019-05-11,318.4314204425712
2019-05-12,380.3894204425711
2019-05-13,495.2454204425711
2019-05-14,697.6217191092381
2019-05-15,681.3056573541671
2019-05-16,614.9156788500427
2019-05-17,547.6411962137795
2019-05-18,419.2598843045213
2019-05-19,399.3875455482622
2019-05-20,602.5732804257512
2019-05-21,583.2640218461033
2019-05-22,427.43584861486704
2019-05-23,716.3300369293058
2019-05-24,636.1993161556505
2019-05-25,504.9263176461851
2019-05-26,423.6139397856505
2019-05-27,279.2891202928012
2019-05-28,430.7552655054086
2019-05-29,358.1713057449303
2019-05-30,389.48373727808587
2019-05-31,410.28230296965495
2019-06-01,445.1214293671667
2019-06-02,364.1231257196357
2019-06-03,404.0567433597653
2019-06-04,399.3868082253844
2019-06-05,327.91884830069523
2019-06-06,528.5867818838975
2019-06-07,391.2433545294323
2019-06-08,537.0764192554632
2019-06-09,295.13441925546323
2019-06-10,480.48441925546297
2019-06-11,559.815400411156
2019-06-12,384.2559127581455
2019-06-13,413.30174156370924
2019-06-14,344.5183429394812
2019-06-15,600.5876570605187
2019-06-16,288.017
2019-06-17,650.378939516129
2019-06-18,336.04382803401415
2019-06-19,625.6057364274935
2019-06-20,560.5761048673454
2019-06-21,501.1304334237707
2019-06-22,232.60377246413674
2019-06-23,354.9344497233224
2019-06-24,403.1106802241714
2019-06-25,472.86065746314756
2019-06-26,525.3509886642144
2019-06-27,387.25451958572614
2019-06-28,570.2868627029335
2019-06-29,396.9209800049861
2019-06-30,228.23498000498603
2019-07-01,492.9294449194726
2019-07-02,399.0092095861424
2019-07-03,308.0939769756544
2019-07-04,219.16672218848703
2019-07-05,242.81872218848704
2019-07-06,511.64072218848713
2019-07-07,287.18272218848705
2019-07-08,517.462800716182
2019-07-09,576.1820295410813
2019-07-10,600.7674289994644
2019-07-11,518.0729728312689
2019-07-12,514.2358854891629
2019-07-13,512.4713997295735
2019-07-14,458.01869243767067
2019-07-15,568.7183064898073
2019-07-16,429.85485814501055
2019-07-17,625.8641495184439
2019-07-18,691.7961897399666
2019-07-19,755.6687774716659
2019-07-20,432.49268732122323
2019-07-21,404.39118431521115
2019-07-22,502.193482716632
2019-07-23,572.6544440406064
2019-07-24,480.6930298387206
2019-07-25,522.7292955535945
2019-07-26,449.1998834135395
2019-07-27,515.1057708353454
2019-07-28,465.6922167588063
2019-07-29,452.6772261306316
2019-07-30,687.8764816338257
2019-07-31,546.9812279909709
2019-08-01,555.2211948310136
2019-08-02,394.7003379721671
2019-08-03,469.2463379721669
2019-08-04,312.76460002408305
2019-08-05,489.8884689705042
2019-08-06,313.88206609325704
2019-08-07,625.718269837954
2019-08-08,547.1591211135037
2019-08-09,575.848889340166
2019-08-10,352.2363828737459
2019-08-11,425.350382873746
2019-08-12,445.4241545868701
2019-08-13,509.1917874569593
2019-08-14,460.6666331809592
2019-08-15,753.0969955220446
2019-08-16,655.967138189217
2019-08-17,438.16735400516814
2019-08-18,438.8693540051681
2019-08-19,320.11935400516796
2019-08-20,611.1573540051678
2019-08-21,680.131004804432
2019-08-22,725.7237174366911
2019-08-23,445.8516637858337
2019-08-24,442.3472495550508
2019-08-25,412.18097263197376
